"","DayOfYear","Tmean","daily_thermal_time","cumul_thermal_time","cumul_thermal_time_dormancy","cumul_vern_days","vern_fac","Berry_thermal_time","sum_daily_thermal_time","days_since_bud_burst","Matdtt","FFulindex","iStage","Vcarbo","Pcarb","Vreserve","aeration_stress","soil_water_stress1","soil_water_stress2","Cpool","vcarbo_limits_swdf","vcarbo_limits_air","vcarbo_limits_salt","shoot_num","berry_num_shoot","berry_num_vine","BerryDw","SugarDw","FruitDw","BerryStage","Brix","FruitSink","VLeafwt","VStemwt","VRootwt","root_growth","stem_growth","leaf_growth","LAI","LatNo","shoot_sqm","VineEop","Tru","total_soil_water","rain","ponding","irrigation","drainage","root_uptake","evap","Pesw","water_table","ATheta","soil_water_deficit","soil_water","infiltration","runoff","salt_stress1","salt_stress2"
"805",2021-03-15,18.45,10.95,2260.549842,30.1381843711516,29.41094,0.43230814315,5.95,7995.10997625,169,2263.9887981653,0.617417243010328,5,0.96711699580334,3.66770249652483,473.350518931616,0.999423726722904,0.263684686422759,0.176668744303962,27.3526677388494,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.3271991928265,0.22198897024525,2819.03045368371,4,20.1583409892175,23.1342979704171,188.341962406032,522.094587734955,294.742876928379,0.0223635239583148,0,0.0551473956939405,0.126374791622412,2.90723133087158,31.5517046974858,0.00374816292704318,0.00262371400424864,60.138599244055,1,0,0,0.00099999999999989,0.00262371400424864,0.0651164822359847,13.8635992440551,145.412210750831,0.315275047069855,6.55624142430614,0.174281324866715,0.1,0,1,1
"806",2021-03-16,17.35,9.85,2270.399842,30.1381843711516,29.41094,0.43230814315,4.85,8004.95997625,170,2273.8387981653,0.617417243010328,5,1.45937278747678,5.53453743364615,473.658546549517,0.999423849614789,0.263684686422759,0.176668744303962,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.32733470199703,0.223692409112466,2820.19795191369,4,20.3612985345017,1.45937278747678,186.825540322638,522.094587734955,294.765240452338,0.0223635239583148,0,0.0551473956939405,0.120936802593848,2.90723133087158,31.5517046974858,0.00528965232184433,0.00370275656223346,60.0980084361224,0.4,0,0,0.00099999999999989,0.00370275656223346,0.0758880513704682,13.8230084361224,145.61819043716,0.318897724657368,6.5215542864057,0.167687939289568,0.04,0,1,1
"807",2021-03-17,16.35,8.85,2279.249842,30.1381843711516,29.41094,0.43230814315,3.85,8013.80997625,171,2282.6887981653,0.617417243010328,5,1.84120760530447,6.98261095596433,473.966574167418,0.999423973082373,0.263684686422759,0.176668744303962,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.327505666206797,0.224995396117251,2821.67091799793,4,20.515941821645,1.84120760530447,186.880687718332,522.094587734955,294.787603976296,0.0223635239583148,0,0.0551473956939405,0.121134564771029,2.90723133087158,31.5517046974858,0.00717480813364767,0.00502236560802299,60.0148238293074,0,0,-1.77635683940025e-15,0.00099999999999989,0.00502236560802299,0.0771622412068866,13.7398238293074,145.823639273651,0.315015908220583,6.55872267878791,0.152986202050697,-1.77635683940025e-16,0,1,1
"808",2021-03-18,18.6,11.1,2290.349842,30.1381843711516,29.41094,0.43230814315,6.1,8024.90997625,172,2293.7887981653,0.617417243010328,5,1.95882999907301,7.42868309526507,474.274601785319,0.999424097077235,0.263684686422759,0.90168171048444,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.327687552172235,0.227000439617325,2823.23798199719,4,20.7615126686726,1.95882999907301,186.935835114026,522.094587734955,294.809967500254,0.0223635239583148,0,0.0551473956939405,0.12133232694821,2.90723133087158,31.5517046974858,0.00876724345515,0.00613707031409131,59.9382836440928,0,0,0,0.00099999999999989,0.00613707031409131,0.0694031149005687,13.6632836440928,146.028563414398,0.306685139555815,6.63848978875307,0.140208101602856,0,0,1,1
"809",2021-03-19,19.45,11.95,2302.299842,30.1381843711516,29.41094,0.43230814315,6.95,8036.85997625,173,2305.7387981653,0.617417243010328,5,1.99472286525816,7.56480349795261,474.582629403221,0.999424221575662,0.263684686422759,0.796248555188579,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.327872770947881,0.229177351226974,2824.8337602894,4,21.0352828919549,1.99472286525816,186.99098250972,522.094587734955,294.832331024212,0.0223635239583148,0,0.0551473956939405,0.121530089125391,2.90723133087158,31.5517046974858,0.00963559114659171,0.006744913687749,59.8721314674893,0,0,0,0.00099999999999989,0.006744913687749,0.0584072629157759,13.5971314674893,146.232968883604,0.299047791651151,6.71161739494023,0.129608597833653,0,0,1,1
"810",2021-03-20,19.2,11.7,2313.999842,30.1381843711516,29.41094,0.43230814315,6.7,8048.55997625,174,2317.4387981653,0.617417243010328,5,1.98138845758567,7.5142339799705,474.890657021122,0.999424346614628,0.263684686422759,0.792180825921453,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.328056751565231,0.231160398249743,2826.41887105547,4,21.2912152134409,1.98138845758567,187.046129905414,522.094587734955,294.854694548171,0.0223635239583148,0,0.0551473956939405,0.121727851302572,2.90723133087158,31.5517046974858,0.00924756522663832,0.00647329554840726,59.8191506389355,0,0,0,0.00099999999999989,0.00647329554840726,0.0455075330053373,13.5441506389355,146.436861579148,0.292494839832095,6.77436190860769,0.121569032819044,0,0,1,1
"811",2021-03-21,21.2,13.7,2327.699842,30.1381843711516,29.41094,0.43230814315,8.7,8062.25997625,175,2331.1387981653,0.617417243010328,5,1.86095627816075,7.05750598629918,475.198684639023,0.999424472170351,0.263684686422759,0.673020939829211,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.328229549525978,0.233595123099074,2827.90763607799,4,21.6177176831266,1.86095627816075,187.101277301108,522.094587734955,294.877058072129,0.0223635239583148,0,0.0551473956939405,0.121925613479753,2.90723133087158,31.5517046974858,0.0104395237833904,0.00730766652392449,59.7706567875275,0,0,3.5527136788005e-15,0.00099999999999989,0.00730766652392449,0.0401861848841242,13.4956567875275,146.640247275981,0.287316972546188,6.82393998787025,0.11457427650974,3.5527136788005e-16,0,1,1
"812",2021-03-22,22.9,15.4,2343.099842,30.1381843711516,29.41094,0.43230814315,10.4,8077.65997625,176,2346.5387981653,0.617417243010328,5,5.94258658131556,6.38038642678429,451.920218998579,0.999424598280298,0.931383493750905,0.624026956357245,24.2414028234579,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.330926100784942,0.236291674358038,2851.14015096678,4,21.8646062600272,29.0406436109764,187.156424696802,522.094587734955,294.899421596087,0.0223635239583148,0,0.0551473956939405,0.122123375656934,2.90723133087158,31.5517046974858,0.0105316645986161,0.00686631288127763,59.729639718211,0,0,0,0.00099999999999989,0.00686631288127763,0.0331507564352376,13.454639718211,146.843131629346,0.282607206205852,6.86903600057897,0.10896767197842,0,0,1,1
"813",2021-03-23,23.05,15.55,2358.649842,30.1381843711516,29.41094,0.43230814315,10.55,8093.20997625,177,2362.0887981653,0.617417243010328,5,5.8245386981605,6.70352827571287,452.22824661648,0.999424724907588,0.868876581408392,0.582147324044565,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.331466934775049,0.238863023686874,2855.7997819253,4,22.2170418046075,5.8245386981605,187.211572092496,522.094587734955,294.921785120046,0.0223635239583148,0,0.0551473956939405,0.122321137834116,2.90723133087158,31.5517046974858,0.0106426154985773,0.00647298344991921,59.6943218246813,0,0,0,0.00099999999999989,0.00647298344991921,0.0278449100797219,13.4193218246813,147.045520177851,0.278677792350226,6.90666013824658,0.104403811347725,0,0,1,1
"814",2021-03-24,22.25,14.75,2373.399842,30.1381843711516,29.41094,0.43230814315,9.75,8107.95997625,178,2376.8387981653,0.617417243010328,5,5.42733532797848,7.05901182538243,452.536274234381,0.999424852103109,0.768852015248933,0.515130863048387,0.30802761790121,0.883056376534172,0.991370544931479,1,228.051247054724,37.7794031441212,8615.64,0.331970886688358,0.241022905642174,2860.14165018769,4,22.5278389736671,5.42733532797848,187.266719488189,522.094587734955,294.944148644004,0.0223635239583148,0,0.0551473956939405,0.122518900011297,2.90723133087158,31.5517046974858,0.0114298050763488,0.00615147996203819,59.6625974223351,0,0,0,0.00099999999999989,0.00615147996203819,0.0245729223841273,13.3875974223351,147.247418346417,0.275343080602041,6.93859000323546,0.100476413754114,0,0,1,1
